s,o,p,model,weight
ex:issuing_for148,ex:issuer100,ex:domain_knowledge,,1.0
ex:issuing_for148,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for149,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for149,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for150,ex:issuer70,ex:domain_knowledge,,1.0
ex:issuing_for150,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for151,ex:issuer74,ex:domain_knowledge,,1.0
ex:issuing_for151,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for152,ex:issuer70,ex:domain_knowledge,,1.0
ex:issuing_for153,ex:issuer52,ex:domain_knowledge,,1.0
ex:issuing_for154,ex:issuer52,ex:domain_knowledge,,1.0
ex:issuing_for155,ex:issuer48,ex:domain_knowledge,,1.0
ex:issuing_for155,ex:issuer53,ex:domain_knowledge,,1.0
ex:issuing_for156,ex:issuer48,ex:domain_knowledge,,1.0
ex:issuing_for157,ex:issuer275,ex:domain_knowledge,,1.0
ex:issuing_for161,ex:issuer286,ex:domain_knowledge,,1.0
ex:issuing_for162,ex:issuer100,ex:domain_knowledge,,1.0
ex:issuing_for162,ex:issuer231,ex:domain_knowledge,,1.0
ex:issuing_for163,ex:issuer106,ex:domain_knowledge,,1.0
ex:issuing_for163,ex:issuer107,ex:domain_knowledge,,1.0
ex:issuing_for163,ex:issuer289,ex:domain_knowledge,,1.0
ex:issuing_for163,ex:issuer296,ex:domain_knowledge,,1.0
ex:issuing_for166,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for167,ex:issuer109,ex:domain_knowledge,,1.0
ex:issuing_for167,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for167,ex:issuer296,ex:domain_knowledge,,1.0
ex:issuing_for168,ex:issuer235,ex:domain_knowledge,,1.0
ex:issuing_for168,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for169,ex:issuer52,ex:domain_knowledge,,1.0
ex:issuing_for170,ex:issuer102,ex:domain_knowledge,,1.0
ex:issuing_for171,ex:issuer102,ex:domain_knowledge,,1.0
ex:issuing_for172,ex:issuer63,ex:domain_knowledge,,1.0
ex:issuing_for172,ex:issuer70,ex:domain_knowledge,,1.0
ex:issuing_for176,ex:issuer33,ex:domain_knowledge,,1.0
ex:issuing_for177,ex:issuer215,ex:domain_knowledge,,1.0
ex:issuing_for178,ex:issuer225,ex:domain_knowledge,,1.0
ex:issuing_for179,ex:issuer74,ex:domain_knowledge,,1.0
ex:issuing_for180,ex:issuer126,ex:domain_knowledge,,1.0
ex:issuing_for180,ex:issuer129,ex:domain_knowledge,,1.0
ex:issuing_for181,ex:issuer187,ex:domain_knowledge,,1.0
ex:issuing_for183,ex:issuer53,ex:domain_knowledge,,1.0
ex:issuing_for184,ex:issuer53,ex:domain_knowledge,,1.0
ex:issuing_for184,ex:issuer55,ex:domain_knowledge,,1.0
ex:issuing_for185,ex:issuer52,ex:domain_knowledge,,1.0
ex:issuing_for186,ex:issuer215,ex:domain_knowledge,,1.0
ex:issuing_for186,ex:issuer261,ex:domain_knowledge,,1.0
ex:issuing_for187,ex:issuer106,ex:domain_knowledge,,1.0
ex:issuing_for187,ex:issuer107,ex:domain_knowledge,,1.0
ex:issuing_for187,ex:issuer109,ex:domain_knowledge,,1.0
ex:issuing_for187,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for187,ex:issuer296,ex:domain_knowledge,,1.0
ex:issuing_for188,ex:issuer100,ex:domain_knowledge,,1.0
ex:issuing_for189,ex:issuer74,ex:domain_knowledge,,1.0
ex:issuing_for189,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for190,ex:issuer106,ex:domain_knowledge,,1.0
ex:issuing_for191,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for192,ex:issuer111,ex:domain_knowledge,,1.0
ex:issuing_for193,ex:issuer111,ex:domain_knowledge,,1.0
ex:issuing_for194,ex:issuer102,ex:domain_knowledge,,1.0
ex:issuing_for194,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for195,ex:issuer281,ex:domain_knowledge,,1.0
ex:issuing_for196,ex:issuer59,ex:domain_knowledge,,1.0
ex:issuing_for198,ex:issuer106,ex:domain_knowledge,,1.0
ex:issuing_for198,ex:issuer289,ex:domain_knowledge,,1.0
ex:issuing_for198,ex:issuer296,ex:domain_knowledge,,1.0
ex:coin3122,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin3131,ex:issuing_for15,ex:issuing_for,,1.0
