s,o,p
ex:coin_35209,ex:issuing_for_5,ex:issuing_for
ex:coin_35217,ex:issuing_for_107,ex:issuing_for
ex:coin_35220,ex:issuing_for_5,ex:issuing_for
ex:coin_35224,ex:issuing_for_107,ex:issuing_for
ex:coin_35225,ex:issuing_for_107,ex:issuing_for
ex:coin_35252,ex:issuing_for_5,ex:issuing_for
ex:coin_35278,ex:issuing_for_107,ex:issuing_for
ex:coin_35293,ex:issuing_for_4,ex:issuing_for
ex:coin_36973,ex:issuing_for_5,ex:issuing_for
ex:coin_1792,ex:issuing_for_4,ex:issuing_for
ex:coin_7490,ex:issuing_for_112,ex:issuing_for
ex:coin_8432,ex:issuing_for_5,ex:issuing_for
ex:coin_8518,ex:issuing_for_112,ex:issuing_for
ex:coin_8583,ex:issuing_for_5,ex:issuing_for
ex:coin_9277,ex:issuing_for_112,ex:issuing_for
ex:coin_12758,ex:issuing_for_108,ex:issuing_for
ex:coin_16622,ex:issuing_for_112,ex:issuing_for
ex:coin_28104,ex:issuing_for_109,ex:issuing_for
ex:coin_34981,ex:issuing_for_5,ex:issuing_for
ex:coin_35262,ex:issuing_for_184,ex:issuing_for
ex:coin_40147,ex:issuing_for_108,ex:issuing_for
ex:coin_41405,ex:issuing_for_112,ex:issuing_for
ex:coin_41535,ex:issuing_for_155,ex:issuing_for
ex:coin_35263,ex:issuing_for_6,ex:issuing_for
ex:coin_796,ex:issuing_for_7,ex:issuing_for
ex:coin_799,ex:issuing_for_7,ex:issuing_for
ex:coin_806,ex:issuing_for_6,ex:issuing_for
ex:coin_842,ex:issuing_for_7,ex:issuing_for
ex:coin_844,ex:issuing_for_6,ex:issuing_for
ex:coin_987,ex:issuing_for_7,ex:issuing_for
ex:coin_1161,ex:issuing_for_6,ex:issuing_for
ex:coin_1202,ex:issuing_for_7,ex:issuing_for
ex:coin_2895,ex:issuing_for_6,ex:issuing_for
ex:coin_2896,ex:issuing_for_6,ex:issuing_for
ex:coin_3158,ex:issuing_for_7,ex:issuing_for
ex:coin_3263,ex:issuing_for_7,ex:issuing_for
ex:coin_3264,ex:issuing_for_7,ex:issuing_for
ex:coin_3265,ex:issuing_for_6,ex:issuing_for
ex:coin_3379,ex:issuing_for_7,ex:issuing_for
ex:coin_3496,ex:issuing_for_6,ex:issuing_for
ex:coin_3497,ex:issuing_for_6,ex:issuing_for
ex:coin_3498,ex:issuing_for_6,ex:issuing_for
ex:coin_3499,ex:issuing_for_6,ex:issuing_for
ex:coin_3638,ex:issuing_for_6,ex:issuing_for
ex:coin_3639,ex:issuing_for_6,ex:issuing_for
ex:coin_3640,ex:issuing_for_7,ex:issuing_for
ex:coin_3641,ex:issuing_for_7,ex:issuing_for
ex:coin_3642,ex:issuing_for_7,ex:issuing_for
ex:coin_3643,ex:issuing_for_7,ex:issuing_for
ex:coin_3920,ex:issuing_for_7,ex:issuing_for
ex:coin_3921,ex:issuing_for_7,ex:issuing_for
ex:coin_3922,ex:issuing_for_7,ex:issuing_for
ex:coin_3923,ex:issuing_for_7,ex:issuing_for
ex:coin_3924,ex:issuing_for_7,ex:issuing_for
ex:coin_3925,ex:issuing_for_7,ex:issuing_for
ex:coin_3926,ex:issuing_for_7,ex:issuing_for
ex:coin_3927,ex:issuing_for_7,ex:issuing_for
ex:coin_4488,ex:issuing_for_6,ex:issuing_for
ex:coin_4489,ex:issuing_for_6,ex:issuing_for
ex:coin_4490,ex:issuing_for_6,ex:issuing_for
ex:coin_4491,ex:issuing_for_6,ex:issuing_for
ex:coin_4492,ex:issuing_for_7,ex:issuing_for
ex:coin_4493,ex:issuing_for_7,ex:issuing_for
ex:coin_4683,ex:issuing_for_6,ex:issuing_for
ex:coin_4797,ex:issuing_for_6,ex:issuing_for
ex:coin_4801,ex:issuing_for_7,ex:issuing_for
ex:coin_4802,ex:issuing_for_7,ex:issuing_for
ex:coin_5001,ex:issuing_for_7,ex:issuing_for
ex:coin_5011,ex:issuing_for_6,ex:issuing_for
ex:coin_5156,ex:issuing_for_6,ex:issuing_for
ex:coin_5157,ex:issuing_for_6,ex:issuing_for
ex:coin_5158,ex:issuing_for_7,ex:issuing_for
ex:coin_5159,ex:issuing_for_7,ex:issuing_for
ex:coin_5160,ex:issuing_for_7,ex:issuing_for
ex:coin_5411,ex:issuing_for_6,ex:issuing_for
ex:coin_5495,ex:issuing_for_6,ex:issuing_for
ex:coin_5655,ex:issuing_for_6,ex:issuing_for
ex:coin_6434,ex:issuing_for_6,ex:issuing_for
ex:coin_6540,ex:issuing_for_6,ex:issuing_for
ex:coin_7697,ex:issuing_for_6,ex:issuing_for
ex:coin_7698,ex:issuing_for_6,ex:issuing_for
ex:coin_7699,ex:issuing_for_6,ex:issuing_for
ex:coin_7700,ex:issuing_for_6,ex:issuing_for
ex:coin_7701,ex:issuing_for_6,ex:issuing_for
ex:coin_7702,ex:issuing_for_6,ex:issuing_for
ex:coin_7703,ex:issuing_for_6,ex:issuing_for
ex:coin_7704,ex:issuing_for_7,ex:issuing_for
ex:coin_7705,ex:issuing_for_7,ex:issuing_for
ex:coin_7706,ex:issuing_for_7,ex:issuing_for
ex:coin_7707,ex:issuing_for_7,ex:issuing_for
ex:coin_7708,ex:issuing_for_7,ex:issuing_for
ex:coin_7709,ex:issuing_for_7,ex:issuing_for
ex:coin_7710,ex:issuing_for_7,ex:issuing_for
ex:coin_8557,ex:issuing_for_6,ex:issuing_for
ex:coin_8925,ex:issuing_for_6,ex:issuing_for
ex:coin_8974,ex:issuing_for_7,ex:issuing_for
