s,p,o
ex:issuing_for_168,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_169,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_170,ex:domain_knowledge,ex:issuer_102
ex:issuing_for_171,ex:domain_knowledge,ex:issuer_102
ex:issuing_for_172,ex:domain_knowledge,ex:issuer_63
ex:issuing_for_172,ex:domain_knowledge,ex:issuer_70
ex:issuing_for_176,ex:domain_knowledge,ex:issuer_33
ex:issuing_for_177,ex:domain_knowledge,ex:issuer_215
ex:issuing_for_178,ex:domain_knowledge,ex:issuer_225
ex:issuing_for_179,ex:domain_knowledge,ex:issuer_74
ex:issuing_for_180,ex:domain_knowledge,ex:issuer_126
ex:issuing_for_180,ex:domain_knowledge,ex:issuer_129
ex:issuing_for_181,ex:domain_knowledge,ex:issuer_187
ex:issuing_for_183,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_184,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_184,ex:domain_knowledge,ex:issuer_55
ex:issuing_for_185,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_186,ex:domain_knowledge,ex:issuer_215
ex:issuing_for_186,ex:domain_knowledge,ex:issuer_261
ex:issuing_for_187,ex:domain_knowledge,ex:issuer_106
ex:issuing_for_187,ex:domain_knowledge,ex:issuer_107
ex:issuing_for_187,ex:domain_knowledge,ex:issuer_109
ex:issuing_for_187,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_187,ex:domain_knowledge,ex:issuer_296
ex:issuing_for_188,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_189,ex:domain_knowledge,ex:issuer_74
ex:issuing_for_189,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_190,ex:domain_knowledge,ex:issuer_106
ex:issuing_for_191,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_192,ex:domain_knowledge,ex:issuer_111
ex:issuing_for_193,ex:domain_knowledge,ex:issuer_111
ex:issuing_for_194,ex:domain_knowledge,ex:issuer_102
ex:issuing_for_194,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_195,ex:domain_knowledge,ex:issuer_281
ex:issuing_for_196,ex:domain_knowledge,ex:issuer_59
ex:issuing_for_198,ex:domain_knowledge,ex:issuer_106
ex:issuing_for_198,ex:domain_knowledge,ex:issuer_289
ex:issuing_for_198,ex:domain_knowledge,ex:issuer_296
