s,p,o
ex:coin_17210,nmo:hasIssuer,ex:issuer_131
ex:coin_17210,nmo:hasIssuer,ex:issuer_154
ex:coin_17210,nmo:hasPortrait,ex:person_41
ex:coin_17257,nmo:hasIssuer,ex:issuer_131
ex:coin_17257,nmo:hasIssuer,ex:issuer_154
ex:coin_17257,nmo:hasPortrait,ex:person_40
ex:coin_17277,nmo:hasIssuer,ex:issuer_154
ex:coin_17277,nmo:hasIssuer,ex:issuer_131
ex:coin_17277,nmo:hasPortrait,ex:person_41
ex:coin_17289,nmo:hasIssuer,ex:issuer_131
ex:coin_17289,nmo:hasIssuer,ex:issuer_154
ex:coin_17289,nmo:hasPortrait,ex:person_41
ex:coin_17327,nmo:hasIssuer,ex:issuer_131
ex:coin_17327,nmo:hasIssuer,ex:issuer_154
ex:coin_17327,nmo:hasPortrait,ex:person_40
ex:coin_17350,nmo:hasIssuer,ex:issuer_154
ex:coin_17350,nmo:hasIssuer,ex:issuer_131
ex:coin_17350,nmo:hasPortrait,ex:person_40
ex:coin_17365,nmo:hasIssuer,ex:issuer_131
ex:coin_17365,nmo:hasIssuer,ex:issuer_154
ex:coin_17365,nmo:hasPortrait,ex:person_41
ex:coin_17372,nmo:hasIssuer,ex:issuer_154
ex:coin_17372,nmo:hasIssuer,ex:issuer_131
ex:coin_17372,nmo:hasPortrait,ex:person_40
ex:coin_17375,nmo:hasIssuer,ex:issuer_131
ex:coin_17375,nmo:hasIssuer,ex:issuer_154
ex:coin_17375,nmo:hasPortrait,ex:person_40
ex:coin_17389,nmo:hasIssuer,ex:issuer_131
ex:coin_17389,nmo:hasIssuer,ex:issuer_154
ex:coin_17389,nmo:hasPortrait,ex:person_40
ex:coin_17391,nmo:hasIssuer,ex:issuer_154
ex:coin_17391,nmo:hasIssuer,ex:issuer_131
ex:coin_17391,nmo:hasPortrait,ex:person_40
ex:coin_17420,nmo:hasIssuer,ex:issuer_154
ex:coin_17420,nmo:hasIssuer,ex:issuer_131
ex:coin_17420,nmo:hasPortrait,ex:person_41
ex:coin_17425,nmo:hasIssuer,ex:issuer_154
ex:coin_17425,nmo:hasIssuer,ex:issuer_131
ex:coin_17425,nmo:hasPortrait,ex:person_40
ex:coin_17427,nmo:hasIssuer,ex:issuer_154
ex:coin_17427,nmo:hasIssuer,ex:issuer_131
ex:coin_17427,nmo:hasPortrait,ex:person_40
ex:coin_17432,nmo:hasIssuer,ex:issuer_131
ex:coin_17432,nmo:hasIssuer,ex:issuer_154
ex:coin_17432,nmo:hasPortrait,ex:person_41
ex:coin_17453,nmo:hasIssuer,ex:issuer_131
ex:coin_17453,nmo:hasIssuer,ex:issuer_154
ex:coin_17453,nmo:hasPortrait,ex:person_41
ex:coin_17474,nmo:hasIssuer,ex:issuer_154
ex:coin_17474,nmo:hasIssuer,ex:issuer_131
ex:coin_17474,nmo:hasPortrait,ex:person_40
ex:coin_17475,nmo:hasIssuer,ex:issuer_131
ex:coin_17475,nmo:hasIssuer,ex:issuer_154
ex:coin_17475,nmo:hasPortrait,ex:person_40
ex:coin_17482,nmo:hasIssuer,ex:issuer_131
ex:coin_17482,nmo:hasIssuer,ex:issuer_154
ex:coin_17482,nmo:hasPortrait,ex:person_40
ex:coin_17488,nmo:hasIssuer,ex:issuer_154
ex:coin_17488,nmo:hasIssuer,ex:issuer_131
ex:coin_17488,nmo:hasPortrait,ex:person_40
ex:coin_17497,nmo:hasIssuer,ex:issuer_131
ex:coin_17497,nmo:hasIssuer,ex:issuer_154
ex:coin_17497,nmo:hasPortrait,ex:person_41
ex:coin_17498,nmo:hasIssuer,ex:issuer_154
ex:coin_17498,nmo:hasIssuer,ex:issuer_131
ex:coin_17498,nmo:hasPortrait,ex:person_41
ex:coin_17516,nmo:hasIssuer,ex:issuer_131
ex:coin_17516,nmo:hasIssuer,ex:issuer_154
ex:coin_17516,nmo:hasPortrait,ex:person_41
ex:coin_17529,nmo:hasIssuer,ex:issuer_131
ex:coin_17529,nmo:hasIssuer,ex:issuer_154
ex:coin_17529,nmo:hasPortrait,ex:person_40
ex:coin_17530,nmo:hasIssuer,ex:issuer_154
ex:coin_17530,nmo:hasIssuer,ex:issuer_131
ex:coin_17530,nmo:hasPortrait,ex:person_40
ex:coin_17536,nmo:hasIssuer,ex:issuer_154
ex:coin_17536,nmo:hasIssuer,ex:issuer_131
ex:coin_17536,nmo:hasPortrait,ex:person_40
ex:coin_17604,nmo:hasIssuer,ex:issuer_131
ex:coin_17604,nmo:hasIssuer,ex:issuer_154
ex:coin_17604,nmo:hasPortrait,ex:person_41
ex:coin_17635,nmo:hasIssuer,ex:issuer_131
ex:coin_17635,nmo:hasIssuer,ex:issuer_154
ex:coin_17635,nmo:hasPortrait,ex:person_41
ex:coin_17643,nmo:hasIssuer,ex:issuer_154
ex:coin_17643,nmo:hasIssuer,ex:issuer_131
ex:coin_17643,nmo:hasPortrait,ex:person_41
ex:coin_17652,nmo:hasIssuer,ex:issuer_131
