s,p,o
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_27987,nmo:hasIssuer,ex:issuer_83
ex:coin_27987,nmo:hasIssuer,ex:uncertain
ex:coin_27987,nmo:hasPortrait,ex:person_15
ex:coin_27987,nmo:hasPortrait,ex:uncertain
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_28681,nmo:hasIssuer,ex:issuer_83
ex:coin_28681,nmo:hasIssuer,ex:uncertain
ex:coin_28681,nmo:hasPortrait,ex:person_16
ex:coin_28681,nmo:hasPortrait,ex:uncertain
ex:person_16,ex:hasPossibleIssuers,ex:issuer_83
ex:person_16,ex:hasPossibleIssuers,ex:issuer_88
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_30220,nmo:hasIssuer,ex:issuer_83
ex:coin_30220,nmo:hasIssuer,ex:uncertain
ex:coin_30220,nmo:hasPortrait,ex:person_15
ex:coin_30220,nmo:hasPortrait,ex:uncertain
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_32387,nmo:hasIssuer,ex:issuer_83
ex:coin_32387,nmo:hasIssuer,ex:uncertain
ex:coin_32387,nmo:hasPortrait,ex:person_15
ex:coin_32387,nmo:hasPortrait,ex:uncertain
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_35937,nmo:hasIssuer,ex:issuer_83
ex:coin_35937,nmo:hasIssuer,ex:uncertain
ex:coin_35937,nmo:hasPortrait,ex:person_16
ex:coin_35937,nmo:hasPortrait,ex:uncertain
ex:person_16,ex:hasPossibleIssuers,ex:issuer_83
ex:person_16,ex:hasPossibleIssuers,ex:issuer_88
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
